participant,omega,tau,nll_by_condition
893,0.5,0.3911239802837372,{'control': 63.7612190246582}
929,0.5,0.1343717873096466,{'control': 33.6912956237793}
881,0.5,0.016770875081419945,{'control': 3.9643993377685547}
922,0.5,0.6206203103065491,{'control': 62.40242385864258}
925,0.5,0.17760877311229706,{'control': 56.74674987792969}
907,0.5,0.13727253675460815,{'control': 48.50613784790039}
882,0.5,0.0716950073838234,{'control': 28.01424789428711}
930,0.5,0.15411829948425293,{'control': 45.29375457763672}
943,0.5,0.7523865103721619,{'control': 63.626182556152344}
892,0.5,0.09016631543636322,{'control': 35.44427490234375}
933,0.5,0.20559456944465637,{'control': 39.18019104003906}
914,0.5,1.2557193040847778,{'control': 65.43965148925781}
890,0.5,0.7370227575302124,{'control': 63.64133834838867}
887,0.5,0.08584565669298172,{'control': 32.86892318725586}
901,0.5,0.1753973811864853,{'control': 45.7152214050293}
944,0.5,0.2939338684082031,{'control': 56.34165573120117}
937,0.5,0.22696702182292938,{'control': 46.63593292236328}
896,0.5,0.0652022659778595,{'control': 5.1646833419799805}
909,0.5,0.12142297625541687,{'control': 49.049217224121094}
884,0.5,0.5528652667999268,{'control': 63.86808776855469}
936,0.5,0.11442578583955765,{'control': 32.71426773071289}
908,0.5,0.2135690152645111,{'control': 52.32205581665039}
785,0.2882569432258606,0.06616285443305969,{'regret_early': 45.71942138671875}
775,0.16802948713302612,0.11111459136009216,{'regret_early': 37.25065994262695}
822,0.07563800364732742,0.22310218214988708,{'regret_early': 55.23217010498047}
839,0.017390914261341095,0.29380860924720764,{'regret_early': 61.36442565917969}
761,0.0424082949757576,0.10463651269674301,{'regret_early': 55.50114440917969}
809,0.5712949633598328,0.08567271381616592,{'regret_early': 41.0585823059082}
791,0.9078138470649719,0.06319917738437653,{'regret_early': 32.15920639038086}
857,4.463366985321045,0.08269871026277542,{'regret_early': 55.649322509765625}
763,2.418231964111328,0.07158873975276947,{'regret_early': 55.988582611083984}
877,2.825955867767334,0.06406921148300171,{'regret_early': 54.733673095703125}
796,0.047898922115564346,0.23189911246299744,{'regret_early': 54.070255279541016}
799,0.17000621557235718,0.2218402773141861,{'regret_early': 54.41462326049805}
793,0.3896847367286682,0.17217719554901123,{'regret_early': 51.3807487487793}
853,0.128046914935112,0.21321643888950348,{'regret_early': 38.552860260009766}
812,0.05356350541114807,0.34812745451927185,{'regret_early': 56.06061935424805}
