"","workerid","trial_index","points","choice","choice_goodbad","condition","source","final_points","expected_value","total_expected_value"
"376",811,16,1,1,"best","regret_late","data",36,0.7,35.3
"377",811,17,0,1,"best","regret_late","data",36,0.7,35.3
"378",811,18,1,1,"best","regret_late","data",36,0.7,35.3
"379",811,19,1,1,"best","regret_late","data",36,0.7,35.3
"380",811,20,0,1,"best","regret_late","data",36,0.7,35.3
"381",811,21,1,1,"best","regret_late","data",36,0.7,35.3
"382",811,22,0,1,"best","regret_late","data",36,0.7,35.3
"383",811,23,1,1,"best","regret_late","data",36,0.7,35.3
"384",811,24,0,1,"best","regret_late","data",36,0.7,35.3
"385",811,25,1,1,"best","regret_late","data",36,0.7,35.3
"386",811,26,1,2,"medium","regret_late","data",36,0.5,35.3
"387",811,27,1,2,"medium","regret_late","data",36,0.5,35.3
"388",811,28,1,2,"medium","regret_late","data",36,0.5,35.3
"389",811,29,0,2,"medium","regret_late","data",36,0.5,35.3
"390",811,30,1,1,"best","regret_late","data",36,0.7,35.3
"391",811,31,0,1,"best","regret_late","data",36,0.7,35.3
"392",811,32,1,1,"best","regret_late","data",36,0.7,35.3
"393",811,33,1,1,"best","regret_late","data",36,0.7,35.3
"394",811,34,0,1,"best","regret_late","data",36,0.7,35.3
"395",811,35,0,2,"medium","regret_late","data",36,0.5,35.3
"396",811,36,0,2,"medium","regret_late","data",36,0.5,35.3
"397",811,37,0,0,"worst","regret_late","data",36,0.2,35.3
"398",811,38,0,0,"worst","regret_late","data",36,0.2,35.3
"399",811,39,1,1,"best","regret_late","data",36,0.7,35.3
"400",811,40,1,1,"best","regret_late","data",36,0.7,35.3
"401",811,41,1,1,"best","regret_late","data",36,0.7,35.3
"402",811,42,1,1,"best","regret_late","data",36,0.7,35.3
"403",811,43,1,1,"best","regret_late","data",36,0.7,35.3
"404",811,44,1,1,"best","regret_late","data",36,0.7,35.3
"405",811,45,0,1,"best","regret_late","data",36,0.7,35.3
"406",811,46,0,1,"best","regret_late","data",36,0.7,35.3
"407",811,47,1,1,"best","regret_late","data",36,0.7,35.3
"408",811,48,1,1,"best","regret_late","data",36,0.7,35.3
"409",811,49,1,1,"best","regret_late","data",36,0.7,35.3
"410",811,50,1,1,"best","regret_late","data",36,0.7,35.3
"411",811,51,1,1,"best","regret_late","data",36,0.7,35.3
"412",811,52,1,1,"best","regret_late","data",36,0.7,35.3
"413",811,53,0,1,"best","regret_late","data",36,0.7,35.3
"414",811,54,0,1,"best","regret_late","data",36,0.7,35.3
"415",811,55,1,1,"best","regret_late","data",36,0.7,35.3
"416",811,56,0,1,"best","regret_late","data",36,0.7,35.3
"417",811,57,1,1,"best","regret_late","data",36,0.7,35.3
"418",811,58,1,1,"best","regret_late","data",36,0.7,35.3
"419",811,59,0,1,"best","regret_late","data",36,0.7,35.3
"420",811,60,1,1,"best","regret_late","data",36,0.7,35.3
"421",823,1,0,1,"medium","regret_late","data",28,0.5,36
"422",823,2,1,2,"best","regret_late","data",28,0.7,36
"423",823,3,0,2,"best","regret_late","data",28,0.7,36
"424",823,4,0,0,"worst","regret_late","data",28,0.2,36
"425",823,5,0,2,"best","regret_late","data",28,0.7,36
"426",823,6,0,0,"worst","regret_late","data",28,0.2,36
"427",823,7,0,1,"medium","regret_late","data",28,0.5,36
"428",823,8,0,1,"medium","regret_late","data",28,0.5,36
"429",823,9,0,2,"best","regret_late","data",28,0.7,36
"430",823,10,1,2,"best","regret_late","data",28,0.7,36
"431",823,11,1,2,"best","regret_late","data",28,0.7,36
"432",823,12,0,2,"best","regret_late","data",28,0.7,36
"433",823,13,0,0,"worst","regret_late","data",28,0.2,36
"434",823,14,1,0,"worst","regret_late","data",28,0.2,36
"435",823,15,0,2,"best","regret_late","data",28,0.7,36
"436",823,16,0,0,"worst","regret_late","data",28,0.2,36
"437",823,17,0,0,"worst","regret_late","data",28,0.2,36
"438",823,18,1,0,"worst","regret_late","data",28,0.2,36
"439",823,19,1,2,"best","regret_late","data",28,0.7,36
"440",823,20,1,2,"best","regret_late","data",28,0.7,36
"441",823,21,1,2,"best","regret_late","data",28,0.7,36
"442",823,22,0,2,"best","regret_late","data",28,0.7,36
"443",823,23,1,2,"best","regret_late","data",28,0.7,36
"444",823,24,1,2,"best","regret_late","data",28,0.7,36
"445",823,25,1,2,"best","regret_late","data",28,0.7,36
"446",823,26,1,2,"best","regret_late","data",28,0.7,36
"447",823,27,0,2,"best","regret_late","data",28,0.7,36
"448",823,28,1,2,"best","regret_late","data",28,0.7,36
"449",823,29,1,2,"best","regret_late","data",28,0.7,36
"450",823,30,0,2,"best","regret_late","data",28,0.7,36
