participant,condition,omega,tau,nll
877,regret_early,3.3163411617279053,0.04566952586174011,23.512285232543945
796,regret_early,0.046507496386766434,0.23441767692565918,28.1540584564209
799,regret_early,0.0657878965139389,0.1771499663591385,24.654582977294922
793,regret_early,0.8273078799247742,0.16033899784088135,26.03618812561035
853,regret_early,0.05224822089076042,0.1450243890285492,14.507206916809082
812,regret_early,0.0424373485147953,0.2890949547290802,26.913610458374023
801,regret_early,0.033258289098739624,0.08810947090387344,18.47611427307129
832,regret_early,0.32793280482292175,0.06297015398740768,15.923993110656738
859,regret_early,0.06619086861610413,0.10330458730459213,17.095590591430664
845,regret_early,0.11958106607198715,0.15499262511730194,16.335350036621094
769,regret_early,0.28396615386009216,0.12432882934808731,24.454666137695312
814,regret_early,0.10319416970014572,0.38700419664382935,30.496288299560547
864,regret_early,1.0321134328842163,0.03613124415278435,18.2030086517334
759,regret_early,0.057422854006290436,0.1400986760854721,21.47290802001953
836,regret_early,1.1032767295837402,0.15630404651165009,27.816787719726562
779,regret_early,0.038777224719524384,0.1172885075211525,28.363574981689453
773,regret_early,0.021595699712634087,0.16881820559501648,27.89551544189453
870,regret_early,3.837736129760742,0.08085408061742783,29.705907821655273
868,regret_early,0.027212461456656456,0.07431343197822571,15.656928062438965
767,regret_early,4.880088806152344,0.028569219633936882,18.17732810974121
830,regret_early,0.07227662205696106,0.2865299582481384,26.330265045166016
771,regret_early,0.2252429574728012,0.1120477020740509,16.466352462768555
777,regret_early,0.038179147988557816,0.043510500341653824,5.4408769607543945
872,regret_early,0.02300996333360672,0.21917282044887543,28.586984634399414
803,regret_early,1.8315104246139526,1.3934824466705322,32.7844352722168
783,regret_early,0.03188468515872955,0.1151568591594696,24.91706657409668
866,regret_early,4.354488372802734,0.12508898973464966,29.313674926757812
855,regret_early,1.2890665531158447,0.19310131669044495,31.285926818847656
876,regret_early,3.7332396507263184,0.05395680293440819,24.243146896362305
754,regret_early,0.07126428931951523,0.13069960474967957,20.06297492980957
755,regret_early,0.009351837448775768,0.08506973832845688,24.437795639038086
850,regret_early,0.035955991595983505,0.08691905438899994,25.070043563842773
828,regret_early,4.160089015960693,1.141858458518982,32.744136810302734
820,regret_early,0.035691119730472565,0.08344326913356781,13.4982271194458
818,regret_early,0.06308267265558243,0.15252868831157684,30.13613510131836
787,regret_early,0.0276571623980999,0.018540039658546448,1.1826598644256592
843,regret_early,3.145237445831299,0.14195901155471802,30.760101318359375
848,regret_early,0.11705268174409866,0.13046881556510925,24.627214431762695
805,regret_early,3.573676586151123,0.11783168464899063,30.27281951904297
874,regret_early,0.07941827923059464,0.11579417437314987,29.593852996826172
765,regret_early,0.05424002557992935,0.14604055881500244,28.618358612060547
789,regret_early,0.04267068952322006,0.17019739747047424,30.133819580078125
826,regret_early,0.2382291555404663,0.17701326310634613,30.046480178833008
757,regret_early,0.26888027787208557,0.14725922048091888,25.409988403320312
701,regret_early,1.464421033859253,0.13368698954582214,29.25176239013672
737,regret_early,1.579627275466919,0.02041298896074295,18.983823776245117
719,regret_early,0.5078492760658264,0.06235655024647713,21.2152099609375
728,regret_early,0.06235469505190849,0.2699926197528839,26.205888748168945
713,regret_early,2.123244285583496,0.023668406531214714,18.732006072998047
710,regret_early,0.028768515214323997,0.0316762700676918,5.179811477661133
716,regret_early,1.210147738456726,0.25895658135414124,31.340856552124023
738,regret_late,1.3233555555343628,0.1153443455696106,25.128868103027344
711,regret_late,0.06637412309646606,0.14143618941307068,16.17325782775879
717,regret_late,0.035780925303697586,0.05847456306219101,6.81528377532959
